device,definition,example_1,example_2,example_3
Accismus,Pretending to refuse or not want something you actually desire.,"Oh, I couldn't take the last slice, she said, plate already tilted toward it.","No, no, the trophy should go to the whole team, he said, gripping it with both hands.","I never win these raffles anyway, she said, buying eleven tickets."
Accumulatio,Driving a point home by piling up phrases that restate and reinforce it.,"The fence failed us: it leaned, it splintered, it let in every rabbit in the county.","She earned that promotion. She stayed late, she trained the new hires, she saved the autumn launch, she kept the whole floor calm.","The soup was a triumph, a comfort, a rescue, a warm hand on a cold week."
Acrostic,A composition in which the first letters of successive lines or words spell out a word.,Her note home spelled HELP down the margin: Having fun. Eating well. Loving camp. Please write.,"The bakery's four specials, read top to bottom, spelled RYE.","Dad's packing list spelled TENT with its first letters, which is exactly what he forgot."
Adynaton,Exaggeration that declares something so unlikely it is impossible.,The river will run uphill before that committee agrees on a font.,I'll finish this inbox when goats file taxes.,Sooner will the moon rent a rowboat than my sourdough starter survive July.
Allegory,"A story whose surface narrative consistently stands for a second, hidden meaning — characters and events map onto ideas.",A garden tale where each weed is a bad habit the gardener refuses to name.,An office story where the broken elevator stands for a rigged promotion ladder.,Animal Farm reads as barnyard drama on top and political history underneath.
Alliteration,Repetition of the same initial consonant sound across nearby words.,Seven silver spoons slid silently sideways.,The bakery's big blue banner buckled in the breeze.,"Grandpa grumbled, grabbed his gloves, and got going."
Allusion,"A brief, unexplained reference to another work, event, or figure the reader is trusted to catch.",Cleaning that garage was my twelve labors.,She smiled like she knew where the wardrobe led.,He met his Waterloo at the spelling bee.
Amphiboly,A sentence whose grammar allows two different readings.,"The sign said SLOW CHILDREN AT PLAY, and the kids never let the town forget it.","She photographed the moose wearing her raincoat, and the paper printed both readings.",FOR SALE: piano by a woman leaving town with carved oak legs.
Amplification,Expanding a simple statement with detail after detail to raise its intensity or importance.,"It rained — cold rain, sideways rain, rain that found the gap under the door.","He was late: late for the bus, late for the meeting, late for the apology.","The soup was salty — aggressively salty, apologize-to-your-ancestors salty."
Anachronism,"A detail placed in the wrong time period, by error or by design.","In the village pageant, a knight checked his wristwatch before the joust.","The novel set in 1850 has its heroine skim a paperback that would not exist for a century, and the author knows it.","The museum diorama of ancient fishermen included, to the curator's horror, a plastic cooler."
