id,effort,effort_weight,effort_space,effort_time,placement,air,age,size,tempo,volume,attitude
1,dab,light,direct,sudden,nasal,breathy,kid-ish,tiny,slow,hushed,friendly
2,dab,light,direct,sudden,nasal,breathy,kid-ish,tiny,slow,hushed,deadpan
3,dab,light,direct,sudden,nasal,breathy,kid-ish,tiny,slow,hushed,menacing
4,dab,light,direct,sudden,nasal,breathy,kid-ish,tiny,slow,medium,friendly
5,dab,light,direct,sudden,nasal,breathy,kid-ish,tiny,slow,medium,deadpan
6,dab,light,direct,sudden,nasal,breathy,kid-ish,tiny,slow,medium,menacing
7,dab,light,direct,sudden,nasal,breathy,kid-ish,tiny,slow,big,friendly
8,dab,light,direct,sudden,nasal,breathy,kid-ish,tiny,slow,big,deadpan
9,dab,light,direct,sudden,nasal,breathy,kid-ish,tiny,slow,big,menacing
10,dab,light,direct,sudden,nasal,breathy,kid-ish,tiny,steady,hushed,friendly
11,dab,light,direct,sudden,nasal,breathy,kid-ish,tiny,steady,hushed,deadpan
12,dab,light,direct,sudden,nasal,breathy,kid-ish,tiny,steady,hushed,menacing
13,dab,light,direct,sudden,nasal,breathy,kid-ish,tiny,steady,medium,friendly
14,dab,light,direct,sudden,nasal,breathy,kid-ish,tiny,steady,medium,deadpan
15,dab,light,direct,sudden,nasal,breathy,kid-ish,tiny,steady,medium,menacing
16,dab,light,direct,sudden,nasal,breathy,kid-ish,tiny,steady,big,friendly
17,dab,light,direct,sudden,nasal,breathy,kid-ish,tiny,steady,big,deadpan
18,dab,light,direct,sudden,nasal,breathy,kid-ish,tiny,steady,big,menacing
19,dab,light,direct,sudden,nasal,breathy,kid-ish,tiny,rapid,hushed,friendly
20,dab,light,direct,sudden,nasal,breathy,kid-ish,tiny,rapid,hushed,deadpan
21,dab,light,direct,sudden,nasal,breathy,kid-ish,tiny,rapid,hushed,menacing
22,dab,light,direct,sudden,nasal,breathy,kid-ish,tiny,rapid,medium,friendly
23,dab,light,direct,sudden,nasal,breathy,kid-ish,tiny,rapid,medium,deadpan
24,dab,light,direct,sudden,nasal,breathy,kid-ish,tiny,rapid,medium,menacing
25,dab,light,direct,sudden,nasal,breathy,kid-ish,tiny,rapid,big,friendly
26,dab,light,direct,sudden,nasal,breathy,kid-ish,tiny,rapid,big,deadpan
27,dab,light,direct,sudden,nasal,breathy,kid-ish,tiny,rapid,big,menacing
28,dab,light,direct,sudden,nasal,breathy,kid-ish,medium,slow,hushed,friendly
29,dab,light,direct,sudden,nasal,breathy,kid-ish,medium,slow,hushed,deadpan
30,dab,light,direct,sudden,nasal,breathy,kid-ish,medium,slow,hushed,menacing
31,dab,light,direct,sudden,nasal,breathy,kid-ish,medium,slow,medium,friendly
32,dab,light,direct,sudden,nasal,breathy,kid-ish,medium,slow,medium,deadpan
33,dab,light,direct,sudden,nasal,breathy,kid-ish,medium,slow,medium,menacing
34,dab,light,direct,sudden,nasal,breathy,kid-ish,medium,slow,big,friendly
35,dab,light,direct,sudden,nasal,breathy,kid-ish,medium,slow,big,deadpan
36,dab,light,direct,sudden,nasal,breathy,kid-ish,medium,slow,big,menacing
37,dab,light,direct,sudden,nasal,breathy,kid-ish,medium,steady,hushed,friendly
38,dab,light,direct,sudden,nasal,breathy,kid-ish,medium,steady,hushed,deadpan
39,dab,light,direct,sudden,nasal,breathy,kid-ish,medium,steady,hushed,menacing
40,dab,light,direct,sudden,nasal,breathy,kid-ish,medium,steady,medium,friendly
41,dab,light,direct,sudden,nasal,breathy,kid-ish,medium,steady,medium,deadpan
42,dab,light,direct,sudden,nasal,breathy,kid-ish,medium,steady,medium,menacing
43,dab,light,direct,sudden,nasal,breathy,kid-ish,medium,steady,big,friendly
44,dab,light,direct,sudden,nasal,breathy,kid-ish,medium,steady,big,deadpan
45,dab,light,direct,sudden,nasal,breathy,kid-ish,medium,steady,big,menacing
46,dab,light,direct,sudden,nasal,breathy,kid-ish,medium,rapid,hushed,friendly
47,dab,light,direct,sudden,nasal,breathy,kid-ish,medium,rapid,hushed,deadpan
48,dab,light,direct,sudden,nasal,breathy,kid-ish,medium,rapid,hushed,menacing
49,dab,light,direct,sudden,nasal,breathy,kid-ish,medium,rapid,medium,friendly
50,dab,light,direct,sudden,nasal,breathy,kid-ish,medium,rapid,medium,deadpan
51,dab,light,direct,sudden,nasal,breathy,kid-ish,medium,rapid,medium,menacing
52,dab,light,direct,sudden,nasal,breathy,kid-ish,medium,rapid,big,friendly
53,dab,light,direct,sudden,nasal,breathy,kid-ish,medium,rapid,big,deadpan
54,dab,light,direct,sudden,nasal,breathy,kid-ish,medium,rapid,big,menacing
55,dab,light,direct,sudden,nasal,breathy,kid-ish,huge,slow,hushed,friendly
56,dab,light,direct,sudden,nasal,breathy,kid-ish,huge,slow,hushed,deadpan
57,dab,light,direct,sudden,nasal,breathy,kid-ish,huge,slow,hushed,menacing
58,dab,light,direct,sudden,nasal,breathy,kid-ish,huge,slow,medium,friendly
59,dab,light,direct,sudden,nasal,breathy,kid-ish,huge,slow,medium,deadpan
60,dab,light,direct,sudden,nasal,breathy,kid-ish,huge,slow,medium,menacing
61,dab,light,direct,sudden,nasal,breathy,kid-ish,huge,slow,big,friendly
62,dab,light,direct,sudden,nasal,breathy,kid-ish,huge,slow,big,deadpan
63,dab,light,direct,sudden,nasal,breathy,kid-ish,huge,slow,big,menacing
64,dab,light,direct,sudden,nasal,breathy,kid-ish,huge,steady,hushed,friendly
65,dab,light,direct,sudden,nasal,breathy,kid-ish,huge,steady,hushed,deadpan
66,dab,light,direct,sudden,nasal,breathy,kid-ish,huge,steady,hushed,menacing
67,dab,light,direct,sudden,nasal,breathy,kid-ish,huge,steady,medium,friendly
68,dab,light,direct,sudden,nasal,breathy,kid-ish,huge,steady,medium,deadpan
69,dab,light,direct,sudden,nasal,breathy,kid-ish,huge,steady,medium,menacing
70,dab,light,direct,sudden,nasal,breathy,kid-ish,huge,steady,big,friendly
71,dab,light,direct,sudden,nasal,breathy,kid-ish,huge,steady,big,deadpan
72,dab,light,direct,sudden,nasal,breathy,kid-ish,huge,steady,big,menacing
73,dab,light,direct,sudden,nasal,breathy,kid-ish,huge,rapid,hushed,friendly
74,dab,light,direct,sudden,nasal,breathy,kid-ish,huge,rapid,hushed,deadpan
75,dab,light,direct,sudden,nasal,breathy,kid-ish,huge,rapid,hushed,menacing
76,dab,light,direct,sudden,nasal,breathy,kid-ish,huge,rapid,medium,friendly
77,dab,light,direct,sudden,nasal,breathy,kid-ish,huge,rapid,medium,deadpan
78,dab,light,direct,sudden,nasal,breathy,kid-ish,huge,rapid,medium,menacing
79,dab,light,direct,sudden,nasal,breathy,kid-ish,huge,rapid,big,friendly
80,dab,light,direct,sudden,nasal,breathy,kid-ish,huge,rapid,big,deadpan
81,dab,light,direct,sudden,nasal,breathy,kid-ish,huge,rapid,big,menacing
82,dab,light,direct,sudden,nasal,breathy,adult,tiny,slow,hushed,friendly
83,dab,light,direct,sudden,nasal,breathy,adult,tiny,slow,hushed,deadpan
84,dab,light,direct,sudden,nasal,breathy,adult,tiny,slow,hushed,menacing
85,dab,light,direct,sudden,nasal,breathy,adult,tiny,slow,medium,friendly
86,dab,light,direct,sudden,nasal,breathy,adult,tiny,slow,medium,deadpan
87,dab,light,direct,sudden,nasal,breathy,adult,tiny,slow,medium,menacing
88,dab,light,direct,sudden,nasal,breathy,adult,tiny,slow,big,friendly
89,dab,light,direct,sudden,nasal,breathy,adult,tiny,slow,big,deadpan
90,dab,light,direct,sudden,nasal,breathy,adult,tiny,slow,big,menacing
91,dab,light,direct,sudden,nasal,breathy,adult,tiny,steady,hushed,friendly
92,dab,light,direct,sudden,nasal,breathy,adult,tiny,steady,hushed,deadpan
93,dab,light,direct,sudden,nasal,breathy,adult,tiny,steady,hushed,menacing
94,dab,light,direct,sudden,nasal,breathy,adult,tiny,steady,medium,friendly
95,dab,light,direct,sudden,nasal,breathy,adult,tiny,steady,medium,deadpan
96,dab,light,direct,sudden,nasal,breathy,adult,tiny,steady,medium,menacing
97,dab,light,direct,sudden,nasal,breathy,adult,tiny,steady,big,friendly
98,dab,light,direct,sudden,nasal,breathy,adult,tiny,steady,big,deadpan
99,dab,light,direct,sudden,nasal,breathy,adult,tiny,steady,big,menacing
100,dab,light,direct,sudden,nasal,breathy,adult,tiny,rapid,hushed,friendly
101,dab,light,direct,sudden,nasal,breathy,adult,tiny,rapid,hushed,deadpan
102,dab,light,direct,sudden,nasal,breathy,adult,tiny,rapid,hushed,menacing
103,dab,light,direct,sudden,nasal,breathy,adult,tiny,rapid,medium,friendly
104,dab,light,direct,sudden,nasal,breathy,adult,tiny,rapid,medium,deadpan
105,dab,light,direct,sudden,nasal,breathy,adult,tiny,rapid,medium,menacing
106,dab,light,direct,sudden,nasal,breathy,adult,tiny,rapid,big,friendly
107,dab,light,direct,sudden,nasal,breathy,adult,tiny,rapid,big,deadpan
108,dab,light,direct,sudden,nasal,breathy,adult,tiny,rapid,big,menacing
109,dab,light,direct,sudden,nasal,breathy,adult,medium,slow,hushed,friendly
110,dab,light,direct,sudden,nasal,breathy,adult,medium,slow,hushed,deadpan
111,dab,light,direct,sudden,nasal,breathy,adult,medium,slow,hushed,menacing
112,dab,light,direct,sudden,nasal,breathy,adult,medium,slow,medium,friendly
113,dab,light,direct,sudden,nasal,breathy,adult,medium,slow,medium,deadpan
114,dab,light,direct,sudden,nasal,breathy,adult,medium,slow,medium,menacing
115,dab,light,direct,sudden,nasal,breathy,adult,medium,slow,big,friendly
116,dab,light,direct,sudden,nasal,breathy,adult,medium,slow,big,deadpan
117,dab,light,direct,sudden,nasal,breathy,adult,medium,slow,big,menacing
118,dab,light,direct,sudden,nasal,breathy,adult,medium,steady,hushed,friendly
119,dab,light,direct,sudden,nasal,breathy,adult,medium,steady,hushed,deadpan
120,dab,light,direct,sudden,nasal,breathy,adult,medium,steady,hushed,menacing
121,dab,light,direct,sudden,nasal,breathy,adult,medium,steady,medium,friendly
122,dab,light,direct,sudden,nasal,breathy,adult,medium,steady,medium,deadpan
123,dab,light,direct,sudden,nasal,breathy,adult,medium,steady,medium,menacing
124,dab,light,direct,sudden,nasal,breathy,adult,medium,steady,big,friendly
125,dab,light,direct,sudden,nasal,breathy,adult,medium,steady,big,deadpan
126,dab,light,direct,sudden,nasal,breathy,adult,medium,steady,big,menacing
127,dab,light,direct,sudden,nasal,breathy,adult,medium,rapid,hushed,friendly
128,dab,light,direct,sudden,nasal,breathy,adult,medium,rapid,hushed,deadpan
129,dab,light,direct,sudden,nasal,breathy,adult,medium,rapid,hushed,menacing
130,dab,light,direct,sudden,nasal,breathy,adult,medium,rapid,medium,friendly
131,dab,light,direct,sudden,nasal,breathy,adult,medium,rapid,medium,deadpan
132,dab,light,direct,sudden,nasal,breathy,adult,medium,rapid,medium,menacing
133,dab,light,direct,sudden,nasal,breathy,adult,medium,rapid,big,friendly
134,dab,light,direct,sudden,nasal,breathy,adult,medium,rapid,big,deadpan
135,dab,light,direct,sudden,nasal,breathy,adult,medium,rapid,big,menacing
136,dab,light,direct,sudden,nasal,breathy,adult,huge,slow,hushed,friendly
137,dab,light,direct,sudden,nasal,breathy,adult,huge,slow,hushed,deadpan
138,dab,light,direct,sudden,nasal,breathy,adult,huge,slow,hushed,menacing
139,dab,light,direct,sudden,nasal,breathy,adult,huge,slow,medium,friendly
140,dab,light,direct,sudden,nasal,breathy,adult,huge,slow,medium,deadpan
141,dab,light,direct,sudden,nasal,breathy,adult,huge,slow,medium,menacing
142,dab,light,direct,sudden,nasal,breathy,adult,huge,slow,big,friendly
143,dab,light,direct,sudden,nasal,breathy,adult,huge,slow,big,deadpan
144,dab,light,direct,sudden,nasal,breathy,adult,huge,slow,big,menacing
145,dab,light,direct,sudden,nasal,breathy,adult,huge,steady,hushed,friendly
146,dab,light,direct,sudden,nasal,breathy,adult,huge,steady,hushed,deadpan
147,dab,light,direct,sudden,nasal,breathy,adult,huge,steady,hushed,menacing
148,dab,light,direct,sudden,nasal,breathy,adult,huge,steady,medium,friendly
149,dab,light,direct,sudden,nasal,breathy,adult,huge,steady,medium,deadpan
150,dab,light,direct,sudden,nasal,breathy,adult,huge,steady,medium,menacing
151,dab,light,direct,sudden,nasal,breathy,adult,huge,steady,big,friendly
152,dab,light,direct,sudden,nasal,breathy,adult,huge,steady,big,deadpan
153,dab,light,direct,sudden,nasal,breathy,adult,huge,steady,big,menacing
154,dab,light,direct,sudden,nasal,breathy,adult,huge,rapid,hushed,friendly
155,dab,light,direct,sudden,nasal,breathy,adult,huge,rapid,hushed,deadpan
156,dab,light,direct,sudden,nasal,breathy,adult,huge,rapid,hushed,menacing
157,dab,light,direct,sudden,nasal,breathy,adult,huge,rapid,medium,friendly
158,dab,light,direct,sudden,nasal,breathy,adult,huge,rapid,medium,deadpan
159,dab,light,direct,sudden,nasal,breathy,adult,huge,rapid,medium,menacing
160,dab,light,direct,sudden,nasal,breathy,adult,huge,rapid,big,friendly
161,dab,light,direct,sudden,nasal,breathy,adult,huge,rapid,big,deadpan
162,dab,light,direct,sudden,nasal,breathy,adult,huge,rapid,big,menacing
163,dab,light,direct,sudden,nasal,breathy,elder,tiny,slow,hushed,friendly
164,dab,light,direct,sudden,nasal,breathy,elder,tiny,slow,hushed,deadpan
165,dab,light,direct,sudden,nasal,breathy,elder,tiny,slow,hushed,menacing
166,dab,light,direct,sudden,nasal,breathy,elder,tiny,slow,medium,friendly
167,dab,light,direct,sudden,nasal,breathy,elder,tiny,slow,medium,deadpan
168,dab,light,direct,sudden,nasal,breathy,elder,tiny,slow,medium,menacing
169,dab,light,direct,sudden,nasal,breathy,elder,tiny,slow,big,friendly
170,dab,light,direct,sudden,nasal,breathy,elder,tiny,slow,big,deadpan
171,dab,light,direct,sudden,nasal,breathy,elder,tiny,slow,big,menacing
172,dab,light,direct,sudden,nasal,breathy,elder,tiny,steady,hushed,friendly
173,dab,light,direct,sudden,nasal,breathy,elder,tiny,steady,hushed,deadpan
174,dab,light,direct,sudden,nasal,breathy,elder,tiny,steady,hushed,menacing
